,lsoa,lat,lon
345,E01000346,51.44569,0.11094
346,E01000347,51.44823,0.10589
347,E01000348,51.44535,0.1256
348,E01000349,51.44678,0.13417
349,E01000350,51.4438,0.10486
350,E01000351,51.44316,0.11646
351,E01000352,51.44872,0.11566
352,E01000353,51.46905,0.14368
353,E01000354,51.47041,0.13466
354,E01000355,51.46767,0.15273
355,E01000356,51.46651,0.13177
356,E01000357,51.4672,0.12675
357,E01000358,51.46573,0.1402
358,E01000359,51.47287,0.13067
359,E01000360,51.45791,0.13872
360,E01000361,51.45136,0.12951
361,E01000362,51.45423,0.14611
362,E01000363,51.45139,0.13653
363,E01000364,51.45003,0.14899
364,E01000365,51.461,0.14519
365,E01000366,51.46146,0.13551
366,E01000367,51.47232,0.17674
367,E01000368,51.46835,0.17515
368,E01000369,51.47009,0.16773
369,E01000370,51.46737,0.16157
370,E01000371,51.46609,0.17041
371,E01000372,51.47472,0.1704
372,E01000373,51.47409,0.17852
373,E01000374,51.45801,0.19468
374,E01000375,51.45087,0.18865
375,E01000376,51.45689,0.18532
376,E01000377,51.45623,0.17735
377,E01000378,51.44863,0.17217
378,E01000379,51.44593,0.18011
379,E01000380,51.46306,0.1843
380,E01000381,51.4301,0.14151
381,E01000382,51.42778,0.11823
382,E01000383,51.41917,0.13963
383,E01000384,51.42135,0.11185
384,E01000385,51.41866,0.1241
385,E01000386,51.41651,0.11353
386,E01000387,51.43303,0.12458
387,E01000388,51.45836,0.11083
388,E01000389,51.45745,0.12428
389,E01000390,51.45272,0.12207
390,E01000391,51.45274,0.11149
391,E01000392,51.46262,0.11228
392,E01000393,51.46177,0.12133
393,E01000394,51.46157,0.12892
394,E01000395,51.46582,0.0866
395,E01000396,51.46193,0.08744
396,E01000397,51.47234,0.10483
397,E01000398,51.47086,0.09414
398,E01000399,51.46635,0.09292
399,E01000400,51.46763,0.09882
400,E01000401,51.46692,0.10604
401,E01000402,51.4831,0.15552
402,E01000403,51.48088,0.17926
403,E01000404,51.4859,0.17636
404,E01000405,51.4896,0.17181
405,E01000406,51.48393,0.16155
406,E01000407,51.47915,0.16708
407,E01000408,51.49659,0.16712
408,E01000409,51.45759,0.10227
409,E01000410,51.45782,0.09196
410,E01000411,51.45504,0.09896
411,E01000412,51.45786,0.08611
412,E01000413,51.45282,0.09712
413,E01000414,51.46265,0.10251
414,E01000415,51.46063,0.09635
415,E01000416,51.49324,0.12467
416,E01000417,51.48435,0.12749
417,E01000418,51.48927,0.13143
418,E01000419,51.47805,0.12763
419,E01000420,51.47937,0.13732
420,E01000421,51.47615,0.13361
421,E01000422,51.49516,0.12499
422,E01000423,51.43353,0.0793
423,E01000424,51.43097,0.09747
424,E01000425,51.43424,0.08746
425,E01000426,51.42999,0.08744
426,E01000427,51.4263,0.09216
427,E01000428,51.42025,0.10233
428,E01000429,51.47954,0.18961
429,E01000430,51.47868,0.20571
430,E01000431,51.47461,0.18347
431,E01000432,51.47148,0.18938
432,E01000433,51.46809,0.18473
433,E01000434,51.46529,0.20095
434,E01000435,51.46555,0.18148
435,E01000436,51.47343,0.14095
436,E01000437,51.47643,0.15231
437,E01000438,51.47633,0.15946
438,E01000439,51.47419,0.16417
439,E01000440,51.4729,0.14865
440,E01000441,51.47227,0.15672
441,E01000442,51.47811,0.14732
442,E01000443,51.43779,0.12265
443,E01000444,51.43715,0.16162
444,E01000445,51.43716,0.13352
445,E01000446,51.44161,0.12523
446,E01000447,51.44119,0.15049
447,E01000448,51.44135,0.13801
448,E01000449,51.44468,0.14383
449,E01000450,51.47629,0.11985
450,E01000451,51.47363,0.11799
451,E01000452,51.47158,0.1243
452,E01000453,51.46945,0.12033
453,E01000454,51.47029,0.11367
454,E01000455,51.46624,0.11445
455,E01000456,51.46588,0.12124
456,E01000457,51.4272,0.10311
457,E01000458,51.43093,0.11088
458,E01000459,51.42576,0.10841
459,E01000460,51.43992,0.10318
460,E01000461,51.43643,0.11385
461,E01000462,51.43518,0.10264
462,E01000463,51.4369,0.09078
463,E01000464,51.49276,0.13255
464,E01000465,51.49325,0.14139
465,E01000466,51.50175,0.14039
466,E01000467,51.51121,0.12254
467,E01000468,51.51169,0.1337
468,E01000469,51.50535,0.12571
469,E01000470,51.49987,0.12505
470,E01000471,51.53723,-0.29154
471,E01000472,51.53569,-0.3009
472,E01000473,51.54289,-0.29561
473,E01000474,51.54623,-0.29116
474,E01000475,51.5421,-0.30542
475,E01000476,51.54232,-0.28933
476,E01000477,51.54078,-0.28402
477,E01000478,51.53991,-0.29444
478,E01000479,51.5689,-0.26973
479,E01000480,51.56852,-0.28027
480,E01000481,51.56712,-0.27491
481,E01000482,51.56411,-0.2744
482,E01000483,51.56219,-0.26576
483,E01000484,51.5796,-0.28431
484,E01000485,51.57825,-0.29057
485,E01000486,51.57435,-0.2826
486,E01000487,51.56977,-0.28735
487,E01000488,51.54376,-0.22977
488,E01000489,51.54306,-0.22272
489,E01000490,51.54431,-0.20697
490,E01000491,51.54178,-0.21495
491,E01000492,51.54057,-0.22378
492,E01000493,51.53814,-0.22611
493,E01000494,51.54638,-0.21662
494,E01000495,51.54579,-0.20988
495,E01000496,51.56445,-0.24695
496,E01000497,51.56447,-0.22725
497,E01000498,51.56857,-0.24256
498,E01000499,51.5684,-0.23622
499,E01000500,51.56506,-0.24251
500,E01000501,51.56325,-0.2343
501,E01000502,51.56041,-0.24081
502,E01000503,51.55975,-0.23152
503,E01000504,51.55198,-0.22609
504,E01000505,51.5523,-0.2311
505,E01000506,51.55236,-0.24588
