id,name,host_id,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,,,,,,,,,,
1545417,Salford -Lowry-MediaCity-Manchester,5649500,53.48786,-2.29252,t,House,Private room,1,1,1,1,Real Bed,$33.00 ,$135.00 ,,,,1,$10.00 ,95,,,,,,,,,,
1608337,Quiet house between Etihad Stadium & City Centre,8566600,53.48782,-2.21125,t,House,Private room,2,1.5,1,1,Real Bed,$29.00 ,,,$0.00 ,$19.00 ,1,$5.00 ,100,,,,,,,,,,
1625515,Comfortable single spacious room,8643169,53.46197,-2.35353,t,House,Private room,1,1.5,1,0,Real Bed,$13.00 ,$138.00 ,$450.00 ,$100.00 ,$15.00 ,1,$0.00 ,91,,,,,,,,,,
1640277,"Light, Cosy, Single",8709024,53.51701,-2.15673,t,House,Private room,1,1,1,0,Real Bed,$20.00 ,$83.00 ,$294.00 ,,,1,$20.00 ,92,,,,,,,,,,
1658651,Cosy single room,8643169,53.461,-2.35388,t,House,Private room,1,1,1,1,Real Bed,$15.00 ,$93.00 ,$315.00 ,$80.00 ,$15.00 ,1,$0.00 ,87,,,,,,,,,,
1685231,Central Arty Home Free On-Street Parking 180° View,9989431,53.49148,-2.23938,t,Apartment,Entire home/apt,5,1,1,2,Real Bed,$60.00 ,$428.00 ,"$1,553.00 ",$500.00 ,$35.00 ,1,$15.00 ,94,,,,,,,,,,
1692442,QuickSpaces Manchester Central,6851542,53.48072,-2.23529,f,Apartment,Entire home/apt,8,2,2,3,Real Bed,$159.00 ,"$1,015.00 ","$3,900.00 ",$299.00 ,,3,$29.00 ,78,,,,,,,,,,
1705429,Modern Duplex Flat near Heaton Park,9001735,53.52704,-2.23666,t,Apartment,Private room,2,1,1,1,Real Bed,$55.00 ,$300.00 ,$550.00 ,$100.00 ,,1,$30.00 ,85,,,,,,,,,,
1810887,Lovely double room with bay window,9487531,53.45034,-2.26742,t,House,Private room,2,1,1,1,Real Bed,$26.00 ,$150.00 ,,$0.00 ,$0.00 ,1,$5.00 ,100,,,,,,,,,,
1818864,Nice 1 bedroom flat close to Univer,4274481,53.45503,-2.2411,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,$37.00 ,$300.00 ,,$80.00 ,$10.00 ,2,$7.00 ,20,,,,,,,,,,
1848567,South Central 2 bedroom apartment,6851542,53.44908,-2.25126,f,Apartment,Entire home/apt,9,1,2,5,Real Bed,$115.00 ,$745.00 ,"$2,900.00 ",$299.00 ,,3,$35.00 ,90,,,,,,,,,,
1916610,Lovely Double Room in a Great Flat!,6649974,53.45944,-2.26966,t,Apartment,Private room,2,1,1,1,Real Bed,$60.00 ,$235.00 ,$800.00 ,$78.00 ,$45.00 ,1,$20.00 ,93,,,,,,,,,,
1969218,5 bed house close to Uni. Sleep 11,4274481,53.45298,-2.22705,t,House,Entire home/apt,11,1,5,5,Real Bed,$363.00 ,,,,$25.00 ,9,$15.00 ,70,,,,,,,,,,
1998884,"Nice single room, close to center",4274481,53.45305,-2.22715,t,Apartment,Private room,1,1,1,1,Real Bed,$25.00 ,$185.00 ,$650.00 ,,$10.00 ,1,$10.00 ,76,,,,,,,,,,
1998897,Spacious apartment by the park,6851542,53.44772,-2.25052,f,Apartment,Entire home/apt,7,1,1,5,Real Bed,$149.00 ,$850.00 ,"$3,000.00 ",$299.00 ,,3,$25.00 ,73,,,,,,,,,,
2006686,Piccadilly City Centre Apartm.07 Short Term Lets,4949917,53.48293,-2.23591,t,Apartment,Private room,10,2,2,7,Real Bed,$275.00 ,,,$300.00 ,$45.00 ,2,$30.00 ,88,,,,,,,,,,
2053538,Mansion house WITH LAWNED REAR GARDEN,10520441,53.36929,-2.33059,f,House,Entire home/apt,16,5.5,5,7,Real Bed,$895.00 ,,,$400.00 ,$0.00 ,12,$0.00 ,100,,,,,,,,,,
2059480,Piccadilly  City Centre Apartm.06 Short Term Lets,4949917,53.48064,-2.23512,t,Apartment,Entire home/apt,9,1,2,6,Real Bed,$175.00 ,,,$300.00 ,$45.00 ,2,$35.00 ,87,,,,,,,,,,
2059673,Piccadilly City Centre Apartment 08 for short Lets,4949917,53.4819,-2.2355,t,Apartment,Private room,8,2,2,6,Real Bed,$260.00 ,,,$301.00 ,$51.00 ,3,$35.00 ,95,,,,,,,,,,
2060586,Piccadilly City Centre Apart.56 for Short lettings,4949917,53.48178,-2.23571,t,Apartment,Private room,9,1,2,6,Real Bed,$150.00 ,,,$300.00 ,$40.00 ,2,$35.00 ,100,,,,,,,,,,
2064662,Piccadilly City Centre Apartment 57,4949917,53.48273,-2.23436,t,Serviced apartment,Private room,7,2,2,5,Real Bed,$380.00 ,,,$300.00 ,$45.00 ,2,$35.00 ,88,,,,,,,,,,
2065356,Large double bedroom,10566057,53.45689,-2.26499,t,Townhouse,Private room,1,1,1,1,Real Bed,$25.00 ,$90.00 ,$350.00 ,$0.00 ,$15.00 ,1,$10.00 ,97,,,,,,,,,,
2089150,Loft conversion apartment,10663450,53.48195,-2.24119,f,Loft,Entire home/apt,4,1,2,0,Real Bed,$66.00 ,$479.00 ,"$1,399.00 ",$100.00 ,$0.00 ,2,$79.00 ,96,,,,,,,,,,
2150350,"Fantastic, modern 3 bedroom house",10974149,53.42287,-2.25698,f,House,Entire home/apt,6,1,3,5,Real Bed,$65.00 ,$499.00 ,"$1,299.00 ",$100.00 ,$34.00 ,2,$25.00 ,92,,,,,,,,,,
2153884,"Large, spacious, comfortable room",8709024,53.51769,-2.15771,t,House,Private room,1,1,1,2,Real Bed,$15.00 ,$80.00 ,$320.00 ,,,1,$20.00 ,87,,,,,,,,,,
2185157,Quiet City Centre Apartment,11143491,53.46967,-2.26357,t,Apartment,Private room,2,1,1,1,Real Bed,$36.00 ,$230.00 ,$700.00 ,$82.00 ,$0.00 ,1,$6.00 ,96,,,,,,,,,,
2209408,A perfect home away from home,3472687,53.48895,-2.21123,t,Apartment,Private room,2,1.5,1,0,Real Bed,$45.00 ,,,,$5.00 ,2,$0.00 ,92,,,,,,,,,,
2235260,Comfy Double Room with Private Bathroom,6792001,53.45706,-2.25919,t,Apartment,Private room,2,1,1,1,Real Bed,$30.00 ,$200.00 ,$600.00 ,,$10.00 ,1,$10.00 ,96,,,,,,,,,,
2275409,Quiet Large Spacious Double Room With Garden View,11618063,53.44852,-2.35743,t,Townhouse,Private room,1,1,1,1,Real Bed,$27.00 ,$175.00 ,$630.00 ,$0.00 ,$0.00 ,1,$0.00 ,99,,,,,,,,,,
