,Unnamed: 0,beds,bed_type,bed_score,rating,price,Latitude,Longitude,name,host_id,crime,bus,room,total
145,145,1,Airbed,0.8,100,91.83673469,53.48866,-2.25481,Comfortable and clean,54101692,98.90035278,100,80,172.9363819
146,146,1,Real Bed,1,87,94.64285714,53.46399,-2.25928,Spacious double-bed terraced house,14717696,45.06110748,100,100,217.1361222
147,147,1,Real Bed,1,93,86.73469388,53.45044,-2.2353,Beautiful double room,38458938,84.85533227,46.24187128,100,137.7527466
148,148,1,Real Bed,1,99,93.62244898,53.40946,-2.27423,"Private Studio, Cosy with ensuite, £30 - £35",54622533,57.35050043,100,100,233.9092291
149,149,1,Real Bed,1,99,91.07142857,53.4765,-2.20787,Lovely room near to the city center,12053688,102.9968171,56.17952704,100,142.8115971
150,150,1,Real Bed,1,97,94.3877551,53.4883,-2.2219,Ensuite bedroom close to city centre,42736641,86.61095983,100,100,201.5434914
151,151,1,Real Bed,1,96,94.3877551,53.47237,-2.29832,MediacityUK Nice Double Ensuit,55441661,84.85533227,100,100,201.1511259
152,152,1,Real Bed,1,97,91.83673469,53.48365,-2.2208,Newly furnished double room. Great Location!,27035856,86.61095983,100,100,199.0690016
153,153,1,Real Bed,1,97,95.15306122,53.49737,-2.26264,Double Room With Private Bathroom,13944958,98.90035278,100,100,190.3651272
154,154,1,Real Bed,1,100,91.07142857,53.62099,-2.11336,room for rent,57365691,19.31190321,43.24810574,100,215.0076311
155,155,1,Real Bed,1,100,94.13265306,53.41712,-2.24829,Double room in Didsbury,56723992,33.94213291,65.00167443,100,225.1921946
156,156,1,Real Bed,1,92,96.93877551,53.44292,-2.19897,"Bright, cosy double room 15 mins from city centre",57717265,49.1575718,100,100,227.9587074
157,157,1,Real Bed,1,100,83.92857143,53.49147,-2.27363,Room near Salford University,57765823,112.3601641,64.66998559,100,136.2383929
158,158,1,Real Bed,1,95,98.7244898,53.44611,-2.23106,Cozy Single Bedroom - GREAT HOST,42675068,88.36658739,100,100,199.8400073
159,159,1,Real Bed,1,98,92.09183673,53.48187,-2.24204,Manchester 1.Room with Sep bathroom,38811145,290.2637573,94.49473465,100,0
160,160,1,Real Bed,1,93,95.66326531,53.52069,-2.22202,Double room with afternoon sun,38822806,107.0932814,46.35737007,100,125.4824392
161,161,1,Real Bed,1,97,98.21428571,53.52795,-2.14963,Single room in the quiet house,2414551,34.52734209,74.73092006,100,231.2653278
162,162,1,Real Bed,1,98,91.83673469,53.47847,-2.20553,"Cosy Double, Parking, near Etihad and City Centre!",31203789,102.9968171,93.78780414,100,178.9751673
163,163,1,Real Bed,1,88,86.2244898,53.48032,-2.21764,Private room in shared flat near Piccadilly,58884848,86.61095983,100,100,175.6599064
164,164,1,Real Bed,1,96,93.1122449,53.44918,-2.28316,"Bright, airy double bedroom in leafy Chorlton",25352335,52.66882692,25.36428498,100,159.1753948
165,165,1,Real Bed,1,90,52.55102041,53.45591,-2.21317,Lovely Double Room in Birchfields Guest House,10888912,100.0707712,100,100,137.2322243
166,166,1,Real Bed,1,99,93.1122449,53.42415,-2.23925,"Sunny, leafy room near bus and tram",60580846,42.13506154,84.73918649,100,233.3592062
167,167,1,Real Bed,1,95,95.66326531,53.48621,-2.34206,Great double close to Manchester 200Mb WIFI,13194180,167.955037,100,100,121.3228169
168,168,1,Real Bed,1,98,95.66326531,53.48594,-2.34117,Beautiful double in fantastic house 200Mb WIFI,13194180,167.955037,100,100,125.1540638
169,169,1,Real Bed,1,88,34.18367347,53.45591,-2.21317,Triple room in Birchfields Guest House,10888912,100.0707712,100,100,118.019354
170,170,1,Real Bed,1,92,94.3877551,53.47492,-2.2384,Spacious Ensuite Room in City Centre Apartment,61393096,290.2637573,100,100,3.794078009
171,171,1,Real Bed,1,100,94.3877551,53.59187,-2.52495,Diane Westwell,61910408,25.16399509,100,100,269.22376
172,172,1,Real Bed,1,99,98.97959184,53.44951,-2.18813,"Manchester, garden view room.",62054430,55.00966368,100,100,241.5302289
173,173,1,Real Bed,1,92,90.81632653,53.47784,-2.20955,Near Picadilly and Etihad Stadium,11837380,102.9968171,75.96898757,100,150.6854172
174,174,1,Real Bed,1,94,98.97959184,53.44611,-2.23106,Cozy Space in LIVING ROOM -  GREAT HOST,42675068,88.36658739,100,100,197.9762242
175,175,1,Real Bed,1,89,88.52040816,53.47842,-2.20608,Sunny room near to city center,12053688,102.9968171,82.42522038,100,149.4744422
176,176,1,Real Bed,1,88,93.1122449,53.48104,-2.15403,Room1 in Manchester/Airport pickup,63018594,29.84566859,82.27836717,100,216.0795503
177,177,1,Real Bed,1,97,96.93877551,53.49572,-2.07518,Cosy single room close to Tameside hospital,64201477,91.29263333,64.99179924,100,165.5188032
