,beds,bed_type,bed_score,rating,price,latitude,longtitude,name,host_id
84,1.0,Real Bed,1.0,90.0,20.00,53.45222,-2.24316,"Comfortable double room, well located.",29980011
85,1.0,Real Bed,1.0,100.0,25.00,53.44007,-2.2766599999999997,Double room in stylish loft flat,2686669
86,1.0,Real Bed,1.0,99.0,39.00,53.49565,-2.26126,Cosy room+ensuite 15 mins City Cr,31568577
87,1.0,Real Bed,1.0,98.0,25.00,53.448980000000006,-2.35775,Cosy Single light Room With Garden View,11618063
88,1.0,Real Bed,1.0,99.0,30.00,53.42331,-2.23453,"Beautiful big rm convenient Uni, City and Christie",32026858
89,1.0,Real Bed,1.0,99.0,40.00,53.433519999999994,-2.27778,Loft Room,16055789
90,1.0,Real Bed,1.0,91.0,49.00,53.4666,-2.2572400000000004,Apartment in the heart of Manchester!,25591349
91,1.0,Real Bed,1.0,100.0,52.00,53.37315,-2.34669,Large Double Room with En-Suite,14471963
92,1.0,Real Bed,1.0,100.0,49.00,53.41678,-2.3107,"Room with a view, very handy for MAN Airport",32954691
93,1.0,Real Bed,1.0,99.0,22.00,53.49299,-2.26091,Modern Room 15 Minute Walk to Deansgate / City Ctr,1948933
94,1.0,Real Bed,1.0,100.0,35.00,53.439130000000006,-2.28073,"Chorlton-Cum-Hardy, Manchester",34380772
95,1.0,Real Bed,1.0,96.0,49.00,53.47982,-2.2302,Double Room next to Picadilly,28731429
96,1.0,Real Bed,1.0,100.0,55.00,53.478880000000004,-2.2193400000000003,Spacious City room with en suite,15965360
97,1.0,Real Bed,1.0,100.0,28.00,53.45349,-2.0914,We have 1 double bed with ensuits,34997903
98,1.0,Real Bed,1.0,99.0,19.00,53.51416,-2.53372,Fresh and comfortable single room in a 3 bed house,23770083
99,1.0,Real Bed,1.0,99.0,40.00,53.4243,-2.23652,West Didsbury room in BRIGHT flat!,6478345
100,1.0,Real Bed,1.0,100.0,35.00,53.409859999999995,-2.22358,Lovely bedroom suitable for (female only),32812230
101,1.0,Real Bed,1.0,95.0,18.00,53.47355,-2.2726900000000003,Single room close to Quays & Town.,31453235
102,1.0,Real Bed,1.0,98.0,35.00,53.42828000000001,-2.17421,Great transport links. Off Rd parking. Family home,34585717
103,1.0,Real Bed,1.0,99.0,42.00,53.4208,-2.18235,Double Bedroom in Victorian Home (Super King Bed),17746047
104,1.0,Real Bed,1.0,90.0,50.00,53.459630000000004,-2.17161,Comfy Large Room Available,21029549
105,1.0,Real Bed,1.0,99.0,35.00,53.39677,-2.21422,Cosy room in pretty Cheadle cottage,38630456
106,1.0,Real Bed,1.0,95.0,45.00,53.47609,-2.23543,"Short term stay in Manchester, UK",2435814
107,1.0,Real Bed,1.0,99.0,30.00,53.48596,-2.3047400000000002,Modern house close to transport,14078746
108,1.0,Real Bed,1.0,80.0,20.00,53.442980000000006,-2.31373,"Double room in Trafford, Manchester",38241211
109,1.0,Real Bed,1.0,100.0,25.00,53.46161,-2.25775,Comfort near Manchester city centre,36022934
110,1.0,Real Bed,1.0,98.0,25.00,53.462990000000005,-2.25743,Cosy modern near central Manchester,36022934
111,1.0,Real Bed,1.0,89.0,23.00,53.43336,-2.2242599999999997,Cosy apartment near Wilmslow Road,40010322
112,1.0,Real Bed,1.0,88.0,19.00,53.5549,-2.41052,Relaxing Loft Area  Bolton,13089980
113,1.0,Real Bed,1.0,89.0,22.00,53.493230000000004,-2.07812,Large Single room in a lovely spiritual home.,26827663
114,1.0,Real Bed,1.0,93.0,35.00,53.46954,-2.24773,Easy Walk To City Centre,38838785
115,1.0,Real Bed,1.0,93.0,40.00,53.482440000000004,-2.23243,DOUBLE ROOM-BATHROOM IN CITY CENTRE,42045764
116,1.0,Real Bed,1.0,95.0,25.00,53.42612,-2.33555,"Quiet Double Bedroom nr Airport, Tram & Bus Routes",26915867
117,1.0,Real Bed,1.0,95.0,26.00,53.60286,-2.31166,single room in homely b and b,29287802
118,1.0,Real Bed,1.0,93.0,20.00,53.50212,-2.3115099999999997,Comfortable small single room,31698083
119,1.0,Real Bed,1.0,96.0,22.00,53.43365,-2.24233,Clean Small Double Room,42697343
120,1.0,Real Bed,1.0,98.0,24.00,53.4387,-2.26729,Large attic room with Single Bed,21970125
121,1.0,Real Bed,1.0,97.0,30.00,53.448780000000006,-2.23862,"Quirky room near City Centre,University’s,Hospital",13998638
122,1.0,Real Bed,1.0,97.0,15.00,53.487930000000006,-2.2210400000000003,Awesome Room in city centre !!BEST LOCATION!!,17761845
123,1.0,Real Bed,1.0,95.0,35.00,53.45845,-2.2326,"Rm2. WALK TO TOWN & UNI, super comfy double bed",14193799
124,1.0,Real Bed,1.0,100.0,20.00,53.47472,-2.22772,An en-suit room in a flat.,39454490
125,1.0,Real Bed,1.0,100.0,25.00,53.52758000000001,-2.26821,Bright Room in  North Manchester,44689323
126,1.0,Real Bed,1.0,100.0,55.00,53.37921,-2.35452,Dble Ensuite Altrincham Manchester,45663559
127,1.0,Real Bed,1.0,98.0,25.00,53.489,-2.33657,"Modern, Private and Cosy Room in Manchester",42204476
128,1.0,Real Bed,1.0,95.0,23.00,53.46473,-2.26492,Double bedroom situatated near the city centre,46365585
129,1.0,Real Bed,1.0,96.0,18.00,53.465630000000004,-2.18946,Single Bedroom with breakfast,46539947
130,1.0,Real Bed,1.0,93.0,37.00,53.464119999999994,-2.26221,Modern Hulme Apartment (M15),44528715
131,1.0,Real Bed,1.0,99.0,35.00,53.42508,-2.18401,"1. Quick,easy access to Manchester and Stockport",46931442
132,1.0,Real Bed,1.0,88.0,32.00,53.467209999999994,-2.24973,Cosy and comfortable double room,22646922
133,1.0,Real Bed,1.0,99.0,40.00,53.60479,-2.06854,Oakdene  -Annex with Stunning Views,48512122
134,1.0,Real Bed,1.0,95.0,24.00,53.47395,-2.2588,Comfy bedroom City Cent/castlefield,49095187
135,1.0,Real Bed,1.0,95.0,24.00,53.46485,-2.1896299999999997,Large Double room,46539947
