id,title,coins,danmakus,follow,views,score,score_count,tags,long_review_count,short_review_count,state,ep,timestamp
2688,秒速五厘米,99385,513179,1844994,13549155,9.5,9024,催泪 日常 ,205,2996,2,1,1583383972
11932,戒律的复活,143207,511351,1836727,73320546,9.7,20561,热血 战斗 漫画改 架空 ,96,7526,2,24,1583383972
5977,夏目友人帐 陆,221454,1184686,1836824,35963118,9.8,8467,催泪 奇幻 日常 治愈 ,69,2988,2,13,1583383972
1540,我的青春恋爱物语果然有问题。 续,374416,2286286,1836691,78551844,9.8,23336,日常 校园 智斗 恋爱 ,218,7147,2,13,1583383972
2743,落第骑士英雄谭,235916,1978957,1826420,69741642,9.4,11892,校园 战斗 架空 冒险 ,77,4355,2,12,1583383972
140552,JOJO的奇妙冒险 不灭钻石,178640,2045800,1821084,54538352,9.8,57057,热血 奇幻 漫画改 战斗 ,193,18541,2,39,1583383972
844,日常,46521,205466,1818805,7964781,9.8,25641,萌系 搞笑 日常 漫画改 ,101,9458,2,26,1583383972
28223860,理科生坠入情网，故尝试证明。,268035,466550,1814658,24408294,9.7,35811,漫画改 日常 搞笑 校园 ,84,12491,2,12,1583383972
28222693,喜欢本大爷的竟然就你一个？,295896,993033,1802795,46460380,8.9,64849,小说改 校园 恋爱 ,183,25114,2,13,1583383972
24755609,刀剑神域,338561,2137026,1790184,36102833,9.8,52957,小说改 热血 奇幻 战斗 ,239,21195,2,25,1583383972
1089,钢之炼金术师 FULLMETAL ALCHEMIST,174361,947613,1769187,35888504,9.9,65607,时泪 奇幻 战斗 热血 ,255,25262,2,64,1583383972
28228037,剑姬神圣谭  在地下城寻求邂逅是否搞错了什么 外传 ,7075,24927,1746806,821898,9.8,2599,小说改 奇幻 架空 神魔 ,8,996,2,12,1583383972
427,某科学的超电磁炮S,280430,2791842,1747169,35649378,9.7,14345,校园 战斗 奇幻 ,72,4022,2,24,1583383972
2660,我的妹妹不可能那么可爱 第一季,106910,2158407,1739948,26418750,9.2,8149,萌系 校园 日常 恋爱 ,70,2632,2,16,1583383972
1523,元气少女缘结神◎,26878,393498,1735222,14994945,9.6,3421,奇幻 少女 神魔 ,9,1191,2,12,1583383972
11732,小木乃伊到我家,70038,568943,1730983,33612714,9.6,11693,漫画改 萌系 搞笑 日常 ,36,5528,2,12,1583383972
3462,双星之阴阳师,199923,2991556,1730228,83948736,8.3,3539,热血 奇幻 战斗 冒险 ,32,1294,2,50,1583383972
28221395,在地下城寻求邂逅是否搞错了什么 第二季,161230,527081,1728233,34655166,9.0,17707,小说改 奇幻 战斗 冒险 ,57,5346,2,13,1583383972
28222622,我，不是说了能力要平均值么！,163906,607797,1718390,43916685,8.1,47702,小说改 穿越 奇幻 萌系 ,221,17673,2,12,1583383972
2667,我女友与青梅竹马的惨烈修罗场,138588,2205358,1696911,30636977,8.9,10162,校园 恋爱 ,69,3578,2,13,1583383972
28222688,我们无法一起学习！,157963,436305,1688166,28341242,5.4,35876,漫画改 日常 校园 恋爱 ,291,18356,2,13,1583383972
6310,异世界食堂,72183,928951,1673540,37071598,9.3,6824,小说改 奇幻 美食 架空 ,28,2532,2,12,1583383972
28224117,星掠者,71338,379655,1649699,29303344,6.7,14629,漫画改 奇幻 搞笑 战斗 ,78,5808,1,9,1583383972
11712,pop子和pipi美的日常,116595,963307,1645216,42456299,8.5,33596,搞笑 漫画改 ,197,16765,2,16,1583383972
685,K,33968,627887,1638131,17574274,9.3,4259,奇幻 战斗 声控 ,30,1345,2,13,1583383972
6304,骑士&魔法,83340,955431,1637475,59274967,8.4,6940,小说改 机战 奇幻 魔法 ,56,2926,2,13,1583383972
6425,此花亭奇谭,130175,594964,1636458,20946147,9.8,23438,萌系 漫画改 日常 治愈 ,138,10594,2,12,1583383972
969,会长是女仆大人！,84096,496921,1617040,15035801,9.8,12489,日常 少女 校园 恋爱 ,48,4798,2,26,1583383972
2932,打工吧！魔王大人,112692,857310,1607925,62148139,9.7,13705,日常 小说改 神魔 职场 ,46,4272,2,13,1583383972
2722,学战都市Asterisk,91928,1169220,1606465,72974224,8.1,2772,校园 奇幻 战斗 架空 ,15,830,2,12,1583383972
28221401,重来吧，魔王大人！,133541,823150,1602923,45207297,8.1,32274,小说改 奇幻 魔法 穿越 ,70,15528,2,12,1583383972
28225115,请问您今天要来点兔子吗？？～Sing for You～,15459,18433,1601362,711665,9.8,4269,漫画改 搞笑 日常 萌系 ,11,1454,2,1,1583383972
4349,中二病也要谈恋爱！恋,581095,2474088,1591914,54059932,9.5,9830,搞笑 恋爱 ,65,2691,2,13,1583383972
2546,言叶之庭,123495,505961,1565927,13221347,9.7,10261,日常 少女 治愈 ,85,3034,2,1,1583383972
6341,地狱少女 宵伽,43690,579799,1564451,23964806,9.2,3853,治愈 神魔 ,25,1470,2,12,1583383972
959,Angel Beats!,60786,254032,1557914,6460152,9.7,15618,奇幻 校园 战斗 催泪 ,161,5851,2,13,1583383972
28223817,魔法纪录 魔法少女小圆外传,56973,144582,1545363,9849246,9.6,6786,游戏改 奇幻 战斗 萌系 ,52,2168,1,9,1583383972
6432,属性咖啡厅,115053,924212,1536652,28758679,9.5,16734,萌系 少女 日常 漫画改 ,49,6295,2,12,1583383972
1553,幻界战线,87701,748190,1535509,43684805,9.6,8690,科幻 热血 战斗 ,59,2890,2,12,1583383972
21986963,我们无法一起学习,193405,786554,1531715,41548009,9.2,15070,漫画改 日常 校园 恋爱 ,55,4966,2,13,1583383972
6422,黑色四叶草,316291,1277107,1500152,97785592,9.4,65442,战斗 热血 魔法 漫画改 ,245,28083,1,124,1583383972
779,Fate/Zero 第二季,134652,3139666,1484798,61076908,9.6,10045,时泪 奇幻 战斗 热血 ,99,2718,2,12,1583383972
5070,齐木楠雄的灾难（日播&精选版）,275741,1256725,1478712,200084860,9.6,7584,奇幻 校园 泡面 漫画改 ,17,2591,2,120,1583383972
102752,异界少女召唤术,75453,471597,1471110,27784726,6.9,13769,小说改 奇幻 战斗 魔法 ,220,7208,2,12,1583383972
79472,Megalo Box,169219,395766,1463492,38093990,9.8,55517,运动 ,261,24289,2,13,1583383972
6439,幻界战线 & BEYOND,99283,360525,1428801,28452489,9.8,26795,奇幻 战斗 漫画改 ,92,11028,2,12,1583383972
